,Unnamed: 0,argument,sa_argument,hypothesis,is_fallacy
2535,2535,"Humans have eaten meat for thousands of years, so it is a long-standing tradition.","Humans have eaten MSK<0> for thousands of years , so MSK<0> is a long - standing tradition . ",This argument is fallacious.,0.0
1636,1636,"Mathematical improbabilities associated with the fine tuning of the laws of physics, the fine tuning of our planet and eco systems, and the immense unliklihood of mutations in genes leading to beneficial changes all provide data for which God is the best possible explanation.","Mathematical improbabilities associated with the MSK<1> of the laws of physics , the MSK<1> of our planet and eco systems , and the immense unliklihood of mutations in genes leading to beneficial changes all provide data for which God is the best possible explanation . ",This argument is fallacious.,0.0
3294,227,"It can be justified if the subject matter, arguments and evidence is beyond the ability of non-experts to comprehend. For subjects with great consequence and which are comprehensible to lay people then it is prudent to ensure the scientists are representing good science well with the opinions in question.","It can be justified if the MSK<0> matter , arguments and evidence is beyond the ability of non-experts to comprehend . For MSK<0> with MSK<1> and which are comprehensible to lay people then MSK<1> is prudent to ensure the MSK<2> are representing good MSK<2> well with the opinions in question . ",This argument is fallacious.,1.0
505,505,"Living in a community means that we all have rights and responsibilities, but we can often forget that. Obligatory community or military service is a great way to realise and remember that.","Living in a MSK<0> means that MSK<1> have rights and responsibilities , but MSK<1> can often MSK<2> . Obligatory MSK<0> or military service is a great way to realise and MSK<2> . ",This argument is fallacious.,0.0
1245,1245,"Scientific results or experiments can be reproduced, but not religious narratives.","Scientific results or experiments can be reproduced , but not religious narratives . ",This argument is fallacious.,0.0
2065,2065,High levels of opposition to gender neutral bathrooms suggest that many people may be uncomfortable using public bathrooms.,High levels of opposition to gender neutral MSK<0> suggest that many people may be uncomfortable using public MSK<0> . ,This argument is fallacious.,0.0
2981,2981,"Texas has a school marshal program \(instituted in 2013\) in which some districts have staff members equipped with and trained in firearms. \(An estimated 20 districts are participating, the precise number/identity being unknown due to safety concerns.\) There are approximately 100 school marshals trained and armed in the state. There are no reports of a negative impact to student safety","Texas has a MSK<1> program \ ( instituted in 2013 \ ) in which some MSK<2> have staff members equipped with and MSK<3> in firearms . \ ( An MSK<5> MSK<5> MSK<2> are participating , the precise number / identity being unknown due to MSK<4> concerns . \ ) There are MSK<5> MSK<5> MSK<1> MSK<3> and armed in the state . There are no reports of a negative impact to student MSK<4> ",This argument is fallacious.,0.0
18,18,"The ideals of white supremacy, xenophobia and homophobia are immoral.","The ideals of white supremacy , xenophobia and homophobia are immoral . ",This argument is fallacious.,0.0
1765,1765,We are not in a position to know whether particular sufferings are unnecessary from God's position because our understanding of the vast web of causes and effects of particular sufferings could not reasonably be expected to measure up to an all-knowing God's.,MSK<0> are not in a MSK<1> to MSK<2> whether MSK<3> are unnecessary from MSK<4> 's MSK<1> because MSK<0> understanding of the vast web of causes and effects of MSK<3> could not reasonably be expected to measure up to an all - MSK<2> MSK<4> 's . ,This argument is fallacious.,0.0
1991,1991,Morality is something about one's very own understanding. One can assume killing cow for beef is immoral \(due to their religious belief\) and others can think it's tasty. So to decide whether killing cow for own agenda is moral or immoral is directly related to what's their belief \(religion\) prioritises.,Morality is something about one 's very own understanding . One can assume MSK<1> for beef is MSK<2> \ ( due to MSK<3> MSK<4> MSK<4> \ ) and others can think it 's tasty . So to decide whether MSK<1> for own agenda is moral or MSK<2> is directly related to what 's MSK<3> MSK<4> \ ( MSK<4> \ ) prioritises . ,This argument is fallacious.,0.0
200,200,The Fourth Amendment protects US citizens from unreasonable search and seizure - using DNA is just this.,The Fourth Amendment protects US citizens from unreasonable search and seizure - using DNA is just this . ,This argument is fallacious.,0.0
2255,2255,Executions often make organs unusable. They would have to be harvested prior to execution.,MSK<0> often make organs unusable . MSK<0> would have to be harvested prior to execution . ,This argument is fallacious.,0.0
3712,645,"International trade and cooperation would become easier, which would be beneficial for the global economy.","International trade and cooperation would become easier , which would be beneficial for the global economy . ",This argument is fallacious.,1.0
1452,1452,"If society were paying for health care, then society would naturally take an opinion on what individual behaviors or food choices are acceptable and which should be discouraged. This would undermine people's freedom to live the lives they want.","If MSK<0> were paying for health care , then MSK<0> would naturally take an opinion on what MSK<1> are acceptable and which should be discouraged . MSK<1> would undermine MSK<2> freedom to live the lives MSK<2> want . ",This argument is fallacious.,0.0
2487,2487,"For something to be the cause of an event, it must occur before that event. Since time begins at the moment of the big bang, nothing can occur before the creation of the universe. Hence, from a common understanding of causality, the universe CANNOT have a cause.","For MSK<0> to be the MSK<1> of MSK<2> , MSK<0> must MSK<3> before MSK<2> . Since time begins at the moment of the big bang , nothing can MSK<3> before the creation of MSK<4> . Hence , from a common understanding of causality , MSK<4> CAN NOT have a MSK<1> . ",This argument is fallacious.,0.0
646,646,It encourages younger girls to aspire and strive to reach elite levels of sport.,It encourages younger girls to aspire and strive to reach elite levels of sport . ,This argument is fallacious.,0.0
1881,1881,"Circumcision presumes to improve upon evolution, yet without evidence and for nothing but cultural reasons.","Circumcision presumes to improve upon evolution , yet without evidence and for nothing but cultural reasons . ",This argument is fallacious.,0.0
1521,1521,"In order to survive in these games, it is necessary to resort to increasingly depraved behaviour as the competition becomes increasingly difficult. Even if a competitor can consent to the initial games, it becomes harder for them to continually evaluate the games as they progress.","In order to survive in MSK<0> , it is necessary to resort to MSK<1> depraved behaviour as the competition becomes MSK<1> difficult . Even if MSK<2> can consent to MSK<3> , MSK<2> becomes harder for MSK<3> to continually evaluate MSK<0> as MSK<3> progress . ",This argument is fallacious.,0.0
772,772,"Quran 86:6-7 falsely states that semen is produced from ""between the backbone and the breastbones.""","Quran 86:6 - 7 falsely states that semen is produced from "" between the backbone and the breastbones . "" ",This argument is fallacious.,0.0
47,47,Laws allowing euthanasia and assisted suicide can be widened in scope to include prisoners.,Laws allowing euthanasia and assisted suicide can be widened in scope to include prisoners . ,This argument is fallacious.,0.0
2917,2917,"This does not make eating meat inherently wrong, because the massive scale of our population is the main cause of the massive scale of farming and therefore also the massive scale of green house gas emissions.","This does not make eating meat inherently wrong , because MSK<0> is the main cause of MSK<0> and therefore also the massive scale of green house gas emissions . ",This argument is fallacious.,0.0
2754,2754,"Since some colours, patterns, and forms of clothing are synonymous with 'traditional' feminine traits and gender roles, women who don them are often criticised by their peers for not being 'feminist' or 'feminist' enough.","Since MSK<0> , patterns , and forms of clothing are synonymous with ' traditional ' feminine traits and gender roles , women who don MSK<0> are often criticised by MSK<0> peers for not being ' MSK<1> ' or ' MSK<1> ' enough . ",This argument is fallacious.,0.0
2412,2412,There is evidence from paleontology,There is evidence from paleontology ,This argument is fallacious.,0.0
2235,2235,The Princeton Engineering Anomalies Research shows consciousness is bizarre and can effect random event generator machines and can even do so at a distance and can do so weeks into the past or future. This is very difficult to explain under a materialistic world view.,The Princeton Engineering Anomalies Research shows consciousness is bizarre and can effect random event generator machines and can even do so at a distance and can do so MSK<0> . MSK<0> is very difficult to explain under a materialistic world view . ,This argument is fallacious.,0.0
2539,2539,"Many animals do not have the capacity to value life, and it is not wrong to deprive a thing something it does not value, thus it is not wrong to deprive an animal of a life it does not value.","Many MSK<0> do not have MSK<1> to MSK<2> MSK<3> , and MSK<1> is not MSK<4> to MSK<5> a thing something MSK<1> does not MSK<2> , thus MSK<1> is not MSK<4> to MSK<5> an MSK<0> of a MSK<3> MSK<1> does not MSK<2> . ",This argument is fallacious.,0.0
1199,1199,"Banning racial profiling would effectively create ""safe havens"" for crime among racial minorities, thus indirectly harming their communities and helping racial stereotypes persist.","Banning MSK<0> profiling would effectively create "" safe havens "" for crime among MSK<1> , thus indirectly harming MSK<1> communities and helping MSK<0> stereotypes persist . ",This argument is fallacious.,0.0
2948,2948,"If eating meat is immoral because animals feel pain, then eating plants may also be immoral. Scientists have been applying the strategies of animal behavior research to plants and finding that plants share many of the characteristics of animals - including an awareness of their environment, of injury \(pain\), memory \(non-genetic\), and the ability to communicate. If consuming beings that feel pain is immoral, and both plants and animals feel pain, where does that leave us?\1\]","If MSK<0> meat is MSK<1> because MSK<2> MSK<3> MSK<4> , then MSK<0> MSK<5> may also be MSK<1> . Scientists have been applying the strategies of MSK<2> behavior research to MSK<5> and finding that MSK<6> share many of the characteristics of MSK<2> - including an awareness of MSK<6> environment , of injury \ ( MSK<4> \ ) , memory \ ( non-genetic \ ) , and the ability to communicate . If MSK<0> beings that MSK<3> MSK<4> is MSK<1> , and both MSK<5> and MSK<2> MSK<3> MSK<4> , where does that leave us ? \ 1 \ ] ",This argument is fallacious.,0.0
1485,1485,"A climate of censorship may have a cooling effect on critical discussion, which is particularly important given that the field of epidemiology can trace its origins back to a cholera outbreak in London in 1854.) is relatively new.","A climate of censorship may have a cooling effect on critical discussion , which is particularly important given that MSK<0> can trace MSK<0> origins back to a cholera outbreak in London in 1854 . ) is relatively new . ",This argument is fallacious.,0.0
1430,1430,Rogue States and/or separatist forums can convert nuclear civilian energy projects to nuclear projects for war/warlike purpose thus posing a threat to others.,Rogue States and / or separatist forums can convert MSK<0> civilian energy MSK<1> to MSK<0> MSK<1> for war / warlike purpose thus posing a threat to others . ,This argument is fallacious.,0.0
2752,2752,"Men and women are equally able to stay home and raise children, demonstrating more fluid gender roles and a decreased need for feminist influence.","Men and women are equally able to stay home and raise children , demonstrating more fluid gender roles and a decreased need for feminist influence . ",This argument is fallacious.,0.0
1553,1553,"Much of the world isn't beautiful - for example, the atrocities committed by man and animals.","Much of the world isn't beautiful - for example , the atrocities committed by man and animals . ",This argument is fallacious.,0.0
1773,1773,"Even if not all religions align, god-like figures are shown throughout most religions","Even if not all MSK<0> align , god - like figures are shown throughout most MSK<0> ",This argument is fallacious.,0.0
2552,2552,Research indicates that it is by no means clear how much meat our ancestors were actually eating.,MSK<0> indicates that MSK<0> is by no means clear how much meat our ancestors were actually eating . ,This argument is fallacious.,0.0
1001,1001,"Sensitive social and political topics should be discussed in schools, but only under certain conditions.","Sensitive social and political topics should be discussed in schools , but only under certain conditions . ",This argument is fallacious.,0.0
3896,829,Many religions posit that the sex binary exists because God intended human beings to either be male or female.,Many religions posit that the sex binary exists because God intended human beings to either be MSK<0> or MSK<0> . ,This argument is fallacious.,1.0
897,897,Referendums ignore minority rights in favour of populist sentiment.,Referendums ignore minority rights in favour of populist sentiment . ,This argument is fallacious.,0.0
2855,2855,"Many times, private schools offer a better education than local public schools and are therefore a better option for parents with their kids' best interests in mind.","Many times , private MSK<0> offer a MSK<1> education than local public MSK<0> and are therefore a MSK<1> option for coref0 . ",This argument is fallacious.,0.0
1062,1062,People who refuse to listen to others are authoritarian in their own mind. They kill the parts of themselves that can build consensus with conflicting ideas and people.,MSK<0> are authoritarian in MSK<0> own mind . MSK<0> kill the parts of MSK<0> that can build consensus with conflicting ideas and people . ,This argument is fallacious.,0.0
657,657,He frequently oversimplified points.,He frequently oversimplified points . ,This argument is fallacious.,0.0
1637,1637,"The robust case for Islam is fortified in its: a\) utilization of all four epistemological roots \(reason, intuition, observation, and testimony\).","MSK<0> is fortified in MSK<0> : a \ ) utilization of all four epistemological roots \ ( reason , intuition , observation , and testimony \ ) . ",This argument is fallacious.,0.0
2301,2301,School uniforms are unfair for students.,School uniforms are unfair for students . ,This argument is fallacious.,0.0
2079,2079,Jewish people don't generally believe in the Hell associated with Christianity.,Jewish people don't generally believe in the Hell associated with Christianity . ,This argument is fallacious.,0.0
2395,2395,"When schools are perceived as respectable, and the pupils that go to them intelligent, workplaces may prefer to hire them.","When MSK<0> are perceived as respectable , and the pupils that go to MSK<0> intelligent , workplaces may prefer to hire MSK<0> . ",This argument is fallacious.,0.0
1045,1045,"To control what ideas can be expressed publicly is to control social discourse and, to some extent, what people think. No agency should be bestowed such power.","To MSK<0> what ideas can be expressed publicly is to MSK<0> social discourse and , to some extent , what people think . No agency should be bestowed such power . ",This argument is fallacious.,0.0
1929,1929,"A civilised society requires some level of established political correctness, and a civil society is better than an uncivil one.","A civilised MSK<0> requires some level of established political correctness , and a civil MSK<0> is better than an uncivil one . ",This argument is fallacious.,0.0
1252,1252,The Bruce effect \(or pregnancy block\) is a tendency in animals \(mainly rodents\) to terminate their pregnancies following exposure to the scent of an unfamiliar male.,The Bruce effect \ ( or MSK<0> block \ ) is a tendency in animals \ ( MSK<1> \ ) to terminate MSK<1> MSK<0> following exposure to the scent of an unfamiliar male . ,This argument is fallacious.,0.0
3692,625,Procreation is in our nature.,Procreation is in our nature . ,This argument is fallacious.,1.0
1010,1010,"Without objective moral facts, we would have no basis for correcting societies that practice unethical things such as slavery, which is absurd.","Without objective moral facts , we would have no basis for correcting societies that practice unethical things such as slavery , which is absurd . ",This argument is fallacious.,0.0
2416,2416,"There are alternative \(scientific & philosophical\) explanations for the existence of the universe, besides God. Therefore the existence of the universe might still have an explanation, even if God does not exist.","There are alternative \ ( scientific & philosophical \ ) MSK<0> for MSK<1> , besides MSK<2> . Therefore MSK<1> might still have an MSK<0> , even if MSK<2> does not exist . ",This argument is fallacious.,0.0
1627,1627,"My existence in our universe would be impossible if any number of laws, constants, and initial conditions were changed even unimaginably slightly. Following the logic of the above statement, it would imply the strong probability that the universe was created for the purpose of harboring me!","MSK<0> existence in MSK<1> would be impossible if MSK<2> were changed even unimaginably slightly . Following the logic of the above statement , MSK<2> would imply the strong probability that MSK<1> was created for the purpose of harboring MSK<0> ! ",This argument is fallacious.,0.0
413,413,"The Republic of China has its own tax system, its own currency, its own passport, etc.","MSK<0> has MSK<0> own tax system , MSK<0> own currency , MSK<0> own passport , etc. . ",This argument is fallacious.,0.0
3546,479,Amendment Proposal #2: Would increase the current gas limit AND reduce the roll size requirement.,Amendment Proposal # 2 : Would increase the current gas limit AND reduce the roll size requirement . ,This argument is fallacious.,1.0
2623,2623,"Sexual assault is a widespread issue, and should be treated with the utmost seriousness.","Sexual assault is a widespread issue , and should be treated with the utmost seriousness . ",This argument is fallacious.,0.0
254,254,"Reparations would profit Black Americans independent of wealth, social standing and class, thereby giving even more to those who are already well-off.","Reparations would profit Black Americans independent of wealth , social standing and class , thereby giving even more to those who are already well - off . ",This argument is fallacious.,0.0
3214,147,The Church of Jesus Christ is the only Church that continues to worship in temples like those found in the Old and New Testaments.,The MSK<0> of Jesus Christ is the only MSK<0> that continues to worship in temples like those found in the Old and New Testaments . ,This argument is fallacious.,1.0
3030,3030,"The modern concept of ""life begins at conception"" is simply not supported by the Bible. Indeed, there are passages in the Bible which attest to the fact that in ancient times a fetus was not considered to have the status of a person.","The modern concept of "" life begins at conception "" is simply not supported by MSK<0> . Indeed , there are passages in MSK<0> which attest to the fact that in ancient times a fetus was not considered to have the status of a person . ",This argument is fallacious.,0.0
1260,1260,"A woman may not feel emotionally, mentally or otherwise prepared to have a child, and ultimately this could be damaging for the child and for the relationship between the mother and child.","MSK<0> may not feel MSK<2> , MSK<2> or otherwise prepared to have MSK<1> , and ultimately this could be damaging for MSK<1> and for the relationship between MSK<0> and child . ",This argument is fallacious.,0.0
684,684,Traveling is often expensive.,Traveling is often expensive . ,This argument is fallacious.,0.0
300,300,"\Self Contradictory\] \Can generalize any definition\] Given that there is a purpose, every statement of purpose can be generalized to general statement \(even if that requires creating a new word\). Thus even the parent claim is a generalized statement since it applies to everyone, and is thus self contradictory.","\ MSK<1> \ ] \ Can MSK<2> any definition \ ] Given that there is a MSK<3> , every MSK<4> of MSK<3> can be MSK<2> to general MSK<4> \ ( even if that requires creating a new word \ ) . Thus MSK<5> is a MSK<2> MSK<4> since MSK<5> applies to everyone , and is thus MSK<1> . ",This argument is fallacious.,0.0
1885,1885,"If this reasoning were valid then witches should be allowed to tattoo protective spells over the entirety of their infant children's skin in order to protect them from spiritual threats. Clearly that would be an overreach of parental authority, as is infant circumcision.","If this reasoning were valid then MSK<0> should be allowed to tattoo MSK<2> spells over the entirety of MSK<0> MSK<1> children 's skin in order to MSK<2> MSK<0> from spiritual threats . Clearly that would be an overreach of parental authority , as is MSK<1> circumcision . ",This argument is fallacious.,0.0
128,128,There are many important things one would miss out on if one were to habitually ignore everyone all the time.,There are many important things one would miss out on if one were to habitually ignore everyone all the time . ,This argument is fallacious.,0.0
3609,542,What a child is fed and what activities are allowed also modifies the child's body permanently. Allowing a child to choose is neglectful parenting.,MSK<0> is fed and what activities are MSK<1> also modifies MSK<0> body permanently . MSK<1> a child to choose is neglectful parenting . ,This argument is fallacious.,1.0
1054,1054,"In recent years, there are often false or exaggerated claims of something PC attacking holidays.","In recent years , there are often false or exaggerated claims of something PC attacking holidays . ",This argument is fallacious.,0.0
620,620,Governments already guide selection pressures through their social and economic policies. The same political processes that have led to the current state of affairs are unlikely to lead to better outcomes if the state is empowered to control reproduction more directly.,MSK<0> already guide selection pressures through MSK<0> social and economic policies . The same political processes that have MSK<1> to MSK<2> are unlikely to MSK<1> to better outcomes if MSK<2> is empowered to control reproduction more directly . ,This argument is fallacious.,0.0
2705,2705,"The experiment that is stated, tested the usability of liquid democracy in a setting where the stakes were negligible. If the stakes are real, people will participate. This is clearly evidenced by the interest rising in politics significantly during election time.","The experiment that is stated , tested the usability of liquid democracy in a setting where MSK<0> were negligible . If MSK<0> are real , people will participate . MSK<0> is clearly evidenced by the interest rising in politics significantly during election time . ",This argument is fallacious.,0.0
1257,1257,"If children born to parents who have had previous abortions become aware of their missing siblings, they may feel like their lives are disposable and that the only reason they are alive is because they were not an inconvenience at the time they were conceived.","If children born to MSK<0> become aware of MSK<0> missing siblings , MSK<0> may feel like MSK<0> lives are disposable and that the only reason MSK<0> are alive is because MSK<0> were not an inconvenience at the time MSK<0> were conceived . ",This argument is fallacious.,0.0
1105,1105,"Culture plays a huge role in attitudes to homosexuality, and both elements can be \(and do\) change over time.","Culture plays a huge role in attitudes to homosexuality , and both elements can be \ ( and do \ ) change over time . ",This argument is fallacious.,0.0
846,846,"Having a few coherent, orthodox faiths, makes it easier to eliminate religions, and reach the truth.","Having a few coherent , orthodox faiths , makes it easier to eliminate religions , and reach the truth . ",This argument is fallacious.,0.0
2641,2641,"Religious dogma does not take well to inquiry and knowledge advancement. Anaxagoras a Presocratic philosopher may well have not started the revolution of thinking that led away from mythology had he been executed for ""Impiety"" as ordered by the Athenian court","Religious dogma does not take well to inquiry and knowledge advancement . Anaxagoras a Presocratic philosopher may well have not started the revolution of thinking that led away from mythology had he been executed for "" Impiety "" as ordered by the Athenian court ",This argument is fallacious.,0.0
3063,3063,The Book of Mormon contains historical inaccuracies that make it likely to be a modern invention.,MSK<0> contains historical inaccuracies that make MSK<0> likely to be a modern invention . ,This argument is fallacious.,0.0
2363,2363,Homosexuality allows individuals to reconsider themself.,Homosexuality allows individuals to reconsider themself . ,This argument is fallacious.,0.0
3481,414,"One's moral compunctions cannot override the necessity of torture; it is surely more morally sound to protect the lives and wellbeing of as many people as possible, which torture can permit.","One 's moral compunctions can not override the necessity of MSK<0> ; it is surely more morally sound to protect the lives and wellbeing of as many people as possible , which MSK<0> can permit . ",This argument is fallacious.,1.0
1334,1334,US drone strikes have generated a backlash in states not directly affected by the strikes because of excessive civilian deaths and violated sovereignty. The same dynamic will take place with AKMs.,MSK<0> have generated a backlash in states not directly affected by MSK<0> because of excessive civilian deaths and violated sovereignty . The same dynamic will take place with AKMs . ,This argument is fallacious.,0.0
386,386,Tau is more mathematically elegant than pi.,Tau is more mathematically elegant than pi . ,This argument is fallacious.,0.0
651,651,Discarded face masks are a safety hazard for wildlife.,Discarded face masks are a safety hazard for wildlife . ,This argument is fallacious.,0.0
3589,522,"An MRI study has shown that an individual's brain ""lit up"" when they felt the holy ghost.","An MRI study has shown that MSK<0> brain "" lit up "" when MSK<0> felt the holy ghost . ",This argument is fallacious.,1.0
2734,2734,Unnecessarily introducing a transcendent Creator to explain the cause of the universe violates Occam's razor the principle that the simplest explanation is preferable.,Unnecessarily introducing a transcendent Creator to MSK<0> the cause of the universe violates Occam 's razor the principle that the simplest MSK<0> is preferable . ,This argument is fallacious.,0.0
3391,324,"Historic landmarks, even statues, are not a glorification of history even if they were put up for that purpose. They are memories of history, they are kept up to remind us of what people once glorified, not any indication that we still do glorify them.","Historic landmarks , even statues , are not a MSK<2> of MSK<0> even if MSK<1> were put up for that purpose . MSK<1> are memories of MSK<0> , MSK<1> are kept up to remind MSK<1> of what people once MSK<2> , not any indication that MSK<1> still do MSK<2> MSK<1> . ",This argument is fallacious.,1.0
3798,731,Cosmological arguments support the existence of God.,Cosmological arguments support the existence of God . ,This argument is fallacious.,1.0
805,805,Eckankar,Eckankar ,This argument is fallacious.,0.0
1845,1845,"Given the government's inability to even balance its own budget, it is not competent to interfere in the private sector","Given MSK<0> inability to even balance MSK<0> own budget , MSK<0> is not competent to interfere in the private sector ",This argument is fallacious.,0.0
2343,2343,C'est une réponse à un désire personnel par des solutions de facilité. Cette facilité engendre une absence de frustration qui est néfaste dans l'absolue.,C'est MSK<0> réponse à un désire personnel par des solutions MSK<1> MSK<2> . Cette MSK<2> engendre MSK<0> absence MSK<1> frustration qui est néfaste dans l'absolue . ,This argument is fallacious.,0.0
366,366,"No Amount of refugees will ""over run"" America. The American population could triple to 1 billion people, and we would still have less than 1/2 of the population density of Germany \(a very nice place to live\). We could house refugees in our shrinking \(rust-belt, retirement, meth, oxy\) cities and towns that need kids and young workers.","No Amount of MSK<0> will "" over run "" America . The American MSK<1> could triple to 1 billion people , and MSK<2> would still have less than 1/2 of the MSK<1> density of Germany \ ( a very nice place to live \ ) . MSK<2> could house MSK<0> in MSK<2> shrinking \ ( rust - belt , retirement , meth , oxy \ ) cities and towns that need kids and young workers . ",This argument is fallacious.,0.0
2780,2780,The expressed opinions in EU have shrunk and agreements over domestic policy and budget priorities will be easier to reach.,The expressed opinions in EU have shrunk and agreements over domestic policy and budget priorities will be easier to reach . ,This argument is fallacious.,0.0
3009,3009,Humans are not naturally monogamous.,Humans are not naturally monogamous . ,This argument is fallacious.,0.0
2643,2643,Religion is  opposing many contemporary laws.,Religion is opposing many contemporary laws . ,This argument is fallacious.,0.0
2868,2868,Scientific principles protect science from distortion and loss of objectivity.,Scientific principles protect science from distortion and loss of objectivity . ,This argument is fallacious.,0.0
1301,1301,Meritocracy should be the only philosophy governing hiring for jobs and enrolling in education.,Meritocracy should be the only philosophy governing hiring for jobs and enrolling in education . ,This argument is fallacious.,0.0
3817,750,Bible verses teach that Christ died for believers without mentioning that he died for unbelievers.,Bible verses teach that MSK<1> for believers without mentioning that MSK<1> for unbelievers . ,This argument is fallacious.,1.0
2667,2667,The 'Born This Way' narrative encourages the idea that LGBTQ+ individuals have no moral responsibility over their identity. This leaves no alternative but tolerance.,MSK<0> encourages the idea that MSK<1> have no moral responsibility over MSK<1> identity . MSK<0> leaves no alternative but tolerance . ,This argument is fallacious.,0.0
2689,2689,President Trump was disrespectful towards foreign leaders and heads of state,President Trump was disrespectful towards foreign leaders and heads of state ,This argument is fallacious.,0.0
2728,2728,"Attending university, even if fees are covered, still entails considerable costs \(through income forgone to study, living expense, etc.\). Thus targeting the least well off with hardship grants is more effective than simply removing fees.","Attending university , even if MSK<0> are covered , still entails considerable costs \ ( through income forgone to study , living expense , etc. \ ) . Thus targeting the least well off with hardship grants is more effective than simply removing MSK<0> . ",This argument is fallacious.,0.0
1411,1411,Autonomy is not always valued in society over health.,Autonomy is not always valued in society over health . ,This argument is fallacious.,0.0
3667,600,"It is bad science if the falsification of a hypothesis is being brushed off, with two simplistic generalising counterclaims which do not offer falsifiability.","It is bad science if the MSK<0> of a hypothesis is being brushed off , with two simplistic generalising counterclaims which do not offer MSK<0> . ",This argument is fallacious.,1.0
2070,2070,Making bathrooms gender neutral removes a safe place for those being harassed by someone of a different gender.,Making bathrooms MSK<0> neutral removes a safe place for those being harassed by someone of a different MSK<0> . ,This argument is fallacious.,0.0
2586,2586,It is disrespectful to your partner to conceal that you broke your commitment to exclusivity.,It is disrespectful to MSK<0> partner to conceal that MSK<0> broke MSK<0> commitment to exclusivity . ,This argument is fallacious.,0.0
1263,1263,"If a mother is incapable of raising her child, it is both the moral and legal duty of the government to look after the child. By choosing to legalize abortion, the government is washing its hands of this responsibility. The government should uphold the sanctity of fundamental rights to even the unborn child.","If MSK<0> is incapable of raising MSK<0> , MSK<0> is both the moral and legal duty of MSK<1> to look after coref1 . By choosing to legalize MSK<2> , MSK<1> is washing MSK<1> hands of this responsibility . MSK<1> should uphold the sanctity of fundamental rights to even the MSK<2> MSK<2> . ",This argument is fallacious.,0.0
3810,743,"The concept of God is a natural evolution of human mythology, dating back to the neolithic period.","The concept of God is a natural evolution of human mythology , dating back to the neolithic period . ",This argument is fallacious.,1.0
458,458,Plenty of things are crimes that do not violate the non-aggression principle.,Plenty of things are crimes that do not violate the non-aggression principle . ,This argument is fallacious.,0.0
1657,1657,"Science can easily prove the existence of a world that we can not see. Digital objects can have substance without being physical \(like the code that defines the substance of this page, for example\).","Science can easily prove the existence of a world that we can not see . Digital objects can have MSK<0> without being physical \ ( like the code that defines the MSK<0> of this page , for example \ ) . ",This argument is fallacious.,0.0
2886,2886,Conscious vegetarianism facilitates compassion towards other living beings and discourages us from viewing them as mere ingredients to a recipe.,Conscious vegetarianism facilitates compassion towards MSK<0> and discourages us from viewing MSK<0> as mere ingredients to a recipe . ,This argument is fallacious.,0.0
1211,1211,"In the name of religion, exorcism has been used as a treatment for mental illness, humans have been sacrificed to appease the gods, and people have relied on faith healing instead of medicine.","In the name of religion , exorcism has been used as a treatment for mental MSK<0> , humans have been sacrificed to appease the gods , and people have relied on faith healing instead of MSK<0> . ",This argument is fallacious.,0.0
1012,1012,Current technology is nowhere near advanced enough to achieve male pregnancy safely.,Current technology is nowhere near advanced enough to achieve male pregnancy safely . ,This argument is fallacious.,0.0
61,61,"Morality is not objective in itself, it could only approximate objectivity in relation to a measurement such as wellbeing of conscious beings.","MSK<0> is not objective in MSK<0> , MSK<0> could only approximate objectivity in relation to a measurement such as wellbeing of conscious beings . ",This argument is fallacious.,0.0
1240,1240,Science and religion serve different functions in society.,Science and religion serve different functions in society . ,This argument is fallacious.,0.0
3420,353,"Reason alone cannot determine if God exists, so if one chooses to believe in God, one does so knowing that there is a chance it is not true; everyone who believes in God surely accepts this.","Reason alone can not determine if MSK<0> exists , so if one chooses to MSK<1> in MSK<0> , one does so knowing that there is a chance it is not true ; everyone who MSK<1> in MSK<0> surely accepts this . ",This argument is fallacious.,1.0
3592,525,"The existence of private property does not follow theft. If property is stolen, the rightful owner still retains a legal claim to the property, and the thief does not. In the case of Native Americans - some land was stolen by colonists, some was traded/purchased, and some was unoccupied. Wherever a rightful claim to land can be proven, the original owner \(or legal heir\) should be compensated","The existence of MSK<0> does not follow MSK<6> . If property is MSK<1> , MSK<2> still retains a MSK<3> MSK<4> to MSK<0> , and the MSK<6> does not . In the case of Native Americans - some MSK<5> was MSK<1> by colonists , some was traded / purchased , and some was unoccupied . Wherever a rightful MSK<4> to MSK<5> can be proven , MSK<2> or MSK<3> heir \ ) should be compensated ",This argument is fallacious.,1.0
3036,3036,Locking up activists who protest outside abortion clinics will make them into martyrs of the pro-life cause.,Locking up MSK<0> will make MSK<0> into martyrs of the pro-life cause . ,This argument is fallacious.,0.0
1943,1943,"The backlash against PC culture, ridiculing every criticism of language as being ""SJW"" and ""triggered"" is also a form of trying to silence people and not conducive to healthy discourse either.","The backlash against PC culture , ridiculing every criticism of language as being "" SJW "" and "" triggered "" is also a form of trying to silence people and not conducive to healthy discourse either . ",This argument is fallacious.,0.0
1030,1030,Governments can harm citizens too.,Governments can harm citizens too . ,This argument is fallacious.,0.0
3415,348,"The whole idea with morality is that it's something individualistic, thus here is no such thing as a morally superior standard.","MSK<0> is that MSK<0> 's something individualistic , thus here is no such thing as a morally superior standard . ",This argument is fallacious.,1.0
3401,334,The debate over second amendment rights is politically charged It is impossible to teach these rights in school without creating political divides in school classrooms.,MSK<0> is MSK<2> charged MSK<0> is impossible to teach coref1 in MSK<1> without creating MSK<2> divides in MSK<1> classrooms . ,This argument is fallacious.,1.0
