Unnamed: 0.1,Unnamed: 0,Label,Argument,Claim,Type of Argument,Type of fallacy,Pros,Cons,is_fallacy,masked_articles
435,583,The slippery slope argument is a fallacy. If it were not then all laws and rules would eventually lead to authoritarian regimes.,Giving any authority the power to decide what is potentially hateful and/or harmful provides a weapon to use against free speech as a whole.,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies.,Con,slippery slope,],],1.0,Giving any authority the power to decide what is potentially hateful and / or harmful provides a weapon to use against free speech as a whole . 
436,585,"If the""slippery slope"" were true, then by the same logic we could all have tanks and grenade launchers since guns are legal. We do our best to impose limits where necessary, and leave it to judges to judge, and elected officials to amend when required.",Limiting speech is a slippery slope and it is hard to know how far we allow limits. If we begin cherry picking what is and isn't acceptable then we will never know when to stop.,There should be no limits on freedom of speech.,Pro,slippery slope,],"""This comparison is not the same. A more accurate comparison would be if the US banned tanks and grenades because they are dangerous \\(ignoring the real purpose for protecting people's rights to have them\\) and then guns were being considered using the same reasoning. Which appears to be the case there.""]",1.0,MSK<0> is a slippery slope and MSK<0> is hard to MSK<1> how far MSK<2> allow limits . If MSK<2> begin cherry picking what is and isn't acceptable then MSK<2> will never MSK<1> when to stop . 
437,588,"That's a slippery slope logical fallacy, not logical.","Extreme beliefs \(like the belief that capitalist are evil, stole everything they have and are not smart, intelligent, or hardworking in ways that are good for society\) lead to authoritarian actions.","Sanders may have charitable views about the policies of some cruel authoritarians, such as Fidel Castro, But he is not himself an authoritarian and would not govern like one.nytimes.com|",Con,slippery slope,],"""It's a tautology to say violent people commit violent actions, and that extreme people commit extreme actions. Their have been authoritarians on the right and left, and if we have more authoritarians in the future they will come from the people with extreme positions.""]",1.0,"Extreme MSK<0> \ ( like the MSK<0> that MSK<1> are evil , stole everything MSK<1> have and are not MSK<2> , MSK<2> , or hardworking in ways that are good for society \ ) lead to authoritarian actions . "
438,590,The rationale of protecting people from terrorism is a slippery slope that can lead to further erosion of people's rights.,"Even though human rights violations can be justified in the short-term to prevent a public evil, the negative long-term consequences to society outweigh any such short-term benefit.",Infringing the human rights of some individuals to prevent harm to the general public is morally justified.,Con,slippery slope,"'A state that sacrifices individual human rights for the public benefit offends the core principles of a liberal democracy 'There are sufficient checks and balances to grant the state the necessary power to carry out its duties while holding it accountable in cases where it unjustly infringes on the human rights of individuals.', 'In many Western nations the threat of terrorism has been used to justify mass surveillance of the population.', 'Major terrorist attacks are often followed by calls for legislation which would strengthen the powers of counter terrorism laws.', ""For every individual that engages in terrorism there are hundreds of millions of individuals who don't. Their rights should not be forfeited on the pretence of capturing terrorists."", 'What can start as a genuine attempt to catch terrorists opens the door to technology and social approval of systems which can later be used to unjustly oppress innocent people and protect criminal politicians.']","'It is possible to draft counter terrorism legislation to set out a clear and strict criteria for when rights may be infringed. In such a case, a slippery slope of rights erosion is unlikely.']",1.0,"Even though human rights violations can be justified in the MSK<0> - MSK<1> to prevent a public evil , the negative long - MSK<1> consequences to society outweigh any such MSK<0> - MSK<1> benefit . "
439,591,"It is possible to draft counter terrorism legislation to set out a clear and strict criteria for when rights may be infringed. In such a case, a slippery slope of rights erosion is unlikely.",The rationale of protecting people from terrorism is a slippery slope that can lead to further erosion of people's rights.,"Even though human rights violations can be justified in the short-term to prevent a public evil, the negative long-term consequences to society outweigh any such short-term benefit.",Pro,slippery slope,],],1.0,The rationale of protecting MSK<0> from terrorism is a slippery slope that can lead to further erosion of MSK<0> 's rights . 
440,593,"Although the threat of a slippery slope supposedly exists for any welfare programme, welfare states do not actually experience this issue.","UBI creates well defined groups of recipients and net payers. It's easier to be a recipient, so there might be a tendency for the group of recipients to enlarge. The recipients are motivated to vote for more financial equality so inevitably enlarge the group of recipients now with even more democratic votes.",Recipients may vote to raise UBI even when it creates negative economic consequences.,Pro,slippery slope,],"'Current welfare programs are not universal, so the groups of receivers have some limit to growth.']",1.0,"MSK<0> creates well defined groups of MSK<1> and net payers . MSK<0> 's easier to be a MSK<1> , so there might be a tendency for MSK<2> MSK<3> to MSK<4> . MSK<3> are motivated to MSK<5> for more financial equality so inevitably MSK<4> MSK<2> now with even more democratic MSK<5> . "
441,594,This is a slippery slope argument a well known logical fallacy.,"Thin end of the wedge. Once aborting disabled children becomes the 'norm', there is no telling what other legalised abortions it could lead to.",It should not be left to lawmakers to decide which disabilities classify as legal or illegal to abort.,Pro,slippery slope,],],1.0,"Thin end of the wedge . Once MSK<0> disabled children becomes the ' norm ' , there is no telling what other legalised MSK<0> it could lead to . "
442,595,"This is a slippery slope fallacy, as it assumes that objectivity must always lead to subjectivity.",Objectivity per se does not exist without subjectivity.,Objectivity is impossible.,Pro,slippery slope,],],1.0,MSK<0> per se does not exist without MSK<0> . 
443,596,Slippery slope is illogical reasoning.,Banning materials we personally disagree with and find repugnant is a slippery slope  There are many things some may consider harmful to society that are best addressed through education rather than bans.,A huge quantity of explicit internet content is misogynistic banning it would be a positive move.,Con,slippery slope,],],1.0,MSK<0> materials we personally disagree with and find repugnant is a slippery slope There are many things some may consider harmful to society that are best addressed through education rather than MSK<0> . 
444,598,"It is not the place of society, legislators or the government to assert whether or not a woman needs confidence or an abortion. Passing laws based upon the assertion of what someone ought to do is a slippery slope that could lead to other assertions about what people ought to do.","There are cases where a woman feels like she is not equipped when in fact she is. In these cases she only needs more self confidence, not an abortion.","There are many reasons a woman may not be equipped to or want to raise a child. In these cases, it is important that she is able to choose abortion.",Con,slippery slope,],],1.0,"There are MSK<0> where MSK<1> feels like MSK<1> is not equipped when in fact MSK<1> is . In these MSK<0> MSK<1> only needs more self confidence , not an abortion . "
445,600,"This is basically a slippery slope argument, a common fallacy.",It is difficult to draw a clear line showing at which point an individual or organisation has proven to be too offensive to be allowed a platform to speak. This makes it very difficult to create an effective no-platforming policy that is not arbitrary.,Controversial speech should not be equated to hate speech. A discourse can be controversial without promoting hate.,Pro,slippery slope,],"'A slippery slope argument on this topic would be a claim that no-platforming some speakers would necessarily lead to no-platforming many speakers for the tiniest of reasons or to rampant censorship. Claiming that ambiguous definitions and lines make it hard to craft effective policy does not fit the model of a slippery-slope argument.', 'A slippery slope logical fallacy only holds if the conclusion is absurd. In this case, it is evidenced. A vocal minority can decide what is deemed ""offensive"" \\(a state which is completely unfalsifiable\\), therefore effective censorship of contrary ideas can be easily achieved on University campuses. If an idea is rational and robust it can endure in the face of ideological opposition. No-Platforming is an effective means of protecting weak or dangerous ideas from scrutiny.', 'This is not a slippery slope argument as it is not suggesting a possible escalation of a situation. It is rather focusing on the nuance of the question in admitting that there is no binary position or conclusion to draw.', 'One could argue that the principle of ""legitimization of hate speech"" falls back on the slippery slope fallacy. Certainly not all prejudiced speakers effectively propagate the beliefs that they espouse. Case in point, Lucian Wintrich\'s visit to Bard College was met with relatively sterile and analytical observation from a predominantly hostile audience.', 'A ""slippery slope"" argument is not necessarily fallacious.']",1.0,It is MSK<0> to draw a clear line showing at which point an individual or organisation has proven to be too offensive to be allowed a MSK<1> to speak . MSK<2> makes MSK<2> very MSK<0> to create an effective no - MSK<1> policy that is not arbitrary . 
446,606,No-platforming creates a slippery slope wherein those who hold the dominant political narrative are afforded the power to dictate what can and cannot be discussed.,No-platforming exacerbates divisions among students because those who support the visiting speaker will feel as if their viewpoints are being shut out by the majority.,Social justice movements should abandon the use of no-platforming at universities,Pro,slippery slope,"'It is problematic to determine who can legitimately allow speakers or not and, at the same time, who can decide what others are able or free to hear.']",],1.0,No - platforming exacerbates divisions among students because MSK<0> will feel as if MSK<0> viewpoints are being shut out by the majority . 
447,607,Everyone has the right to be a parent. This is a very slippery slope. Where does it end and who defines that stopping point? Say we do say that some people shouldn't. How are those people identified and at what point does it become eugenics?newyorker.com,No one has a right to restrict another person's ability to reproduce.,Anyone should be allowed to be a parent.,Pro,slippery slope,],"'Everyone surely has the right to make their own reproductive decisions, but no one has an absolute right to functionally be a parent.']",1.0,No one has a right to restrict another person 's ability to reproduce . 
448,608,"Having compassion for and trusting in the military may be harmful consensus is dangerous. It allows presidents who surround themselves with generals to tap into public admiration for the military and bask in the military’s reflected glory and thereby seek to silence civilian critics of their foreign policies. At the same time, it weakens civilian officials’ claim, under the normal model of civil-military relations, that they have the right to be wrong and undermines civilian control over defense policy. Even more worrisome, the top brass may come to believe these militarist myths: Persuaded of their own superiority, and confident of the public’s trust, they may come to prefer their own judgment to that of elected officials. That may seem appealing now, given the current president’s impulsive nature, but it is a treacherously slippery slope.). The military holds huge capacity for harm and should be treated with suspicion by society so that they and the government can be held properly accountable.","Improving the image of the military is not necessarily a good thing. The public perception of the military may be inaccurate, seeing it as more positive than it actually is.",Having more women serving in the military will improve the overall culture of the military; this in turn could improve how the military is perceived in society,Con,slippery slope,],],1.0,"Improving the image of MSK<0> is not necessarily a good thing . MSK<1> MSK<0> may be inaccurate , seeing MSK<1> as more positive than MSK<1> actually is . "
449,609,This is a slippery slope fallacy Cigarettes becoming banned does not imply any product deemed harmful at any level would be banned. Each product would be considered on a case by case basis.,"Banning cigarettes sets a dangerous precedent for banning any product deemed harmful to health. Most processed foods have unhealthy amounts of salts, sugars and fat.",Everyone should have the right to make their own decisions in regards to their health.,Pro,slippery slope,],],1.0,"MSK<0> cigarettes sets a dangerous precedent for MSK<0> any product deemed harmful to health . Most processed foods have unhealthy amounts of salts , sugars and fat . "
450,610,Selecting out individuals who exhibit 'poor health and choices' is a slippery slope that would have unintended consequences.,Society shouldn't be responsible for paying for other individual's poor health or choices.,Health care cannot be declared a human right because this forces others to provide people with health care through their labor.,Pro,slippery slope,],"'Automatically treating individuals who create an undue demand on the system through poor choices is a slippery slope that would have unintended consequences.', ""There is no 'selecting' occurring, the service is not provided by the government at all. A government policy that protects an individual from the consequences of their actions does nothing to discourage negative actions. Without personal agency, society absolves the individual all responsibility and creates a perpetual dependency on the state - see San Francisco's homelessness problem",1.0,Society shouldn't be responsible for paying for other individual 's poor health or choices . 
451,611,Automatically treating individuals who create an undue demand on the system through poor choices is a slippery slope that would have unintended consequences.,Selecting out individuals who exhibit 'poor health and choices' is a slippery slope that would have unintended consequences.,Society shouldn't be responsible for paying for other individual's poor health or choices.,Con,slippery slope,],"'This is not a slippery slope fallacy, as there is nowhere to slide to. If you already treat 100% of people, you cannot start treating 101%. The parent slippery slope argument works because if you are selective and choose to treat 90% of people, that you are then more likely to start treating 89%... then 88%... etc..']",1.0,Selecting out individuals who exhibit ' poor health and choices ' is a slippery slope that would have unintended consequences . 
452,612,"This is not a slippery slope fallacy, as there is nowhere to slide to. If you already treat 100% of people, you cannot start treating 101%. The parent slippery slope argument works because if you are selective and choose to treat 90% of people, that you are then more likely to start treating 89%... then 88%... etc..",Automatically treating individuals who create an undue demand on the system through poor choices is a slippery slope that would have unintended consequences.,Selecting out individuals who exhibit 'poor health and choices' is a slippery slope that would have unintended consequences.,Con,slippery slope,],],1.0,Automatically treating individuals who create an undue demand on the system through poor choices is a slippery slope that would have unintended consequences . 
453,613,Censorship is a slippery slope. Any level of censorship may cause more trouble than good.,Individuals should be censored for making false statements about Covid.,,,slippery slope,"""Censorship ensures people fact-check and know they're being policed which should make them think twice before spreading lies or fear-mongering."", 'A climate of censorship may have a cooling effect on critical discussion, which is particularly important given that the field of epidemiology can trace its origins back to a cholera outbreak in London in 1854.) is relatively new.', 'Censorship - even well-intended censorship - creates the perfect environment for groupthink to thrive, especially among scientists.', 'If ""making false statements"" includes sharing false statements, then it will involve censoring millions of individuals. This is anti-democratic.']",'Slippery slope arguments are a well-known logical fallacy,1.0,Individuals should be censored for making false statements about Covid . 
454,614,Slippery slope arguments are a well-known logical fallacy,Censorship is a slippery slope. Any level of censorship may cause more trouble than good.,Individuals should be censored for making false statements about Covid.,Con,slippery slope,],"'A slippery slope argument is only fallacious if it fails to show a causal connection slippery slope argument is not always a fallacy. A slippery slope fallacy is an argument that says adopting one policy or taking one action will lead to a series of other policies or actions also being taken, without showing a causal connection between the advocated policy and the consequent policies. \\n\\...\\] There are a variety of ways to turn a slippery slope fallacy into a valid \\(or at least plausible\\) argument. All you need to do is provide some reason why the adoption of one policy will lead to the adoption of another.) between the potential policy and the undesirable consequences.']",1.0,MSK<0> is a slippery slope . Any level of MSK<0> may cause more trouble than good . 
455,615,"A slippery slope argument is only fallacious if it fails to show a causal connection slippery slope argument is not always a fallacy. A slippery slope fallacy is an argument that says adopting one policy or taking one action will lead to a series of other policies or actions also being taken, without showing a causal connection between the advocated policy and the consequent policies. \n\...\] There are a variety of ways to turn a slippery slope fallacy into a valid \(or at least plausible\) argument. All you need to do is provide some reason why the adoption of one policy will lead to the adoption of another.) between the potential policy and the undesirable consequences.",Slippery slope arguments are a well-known logical fallacy,Censorship is a slippery slope. Any level of censorship may cause more trouble than good.,Con,slippery slope,],],1.0,Slippery slope arguments are a well - known logical fallacy 
456,616,"Even if it is a slippery slope, that is fine. There are other ideologies which are also harmful to society, and violence should be used against individuals who spread these ideas.",Legitimising political violence sets a bad precedent that could enable further political violence.,It is okay to punch a Nazi.,Con,slippery slope,"'Individuals who spread racism, sexism and homophobia, regardless if they identify as a Nazi or not, deserve to be punched.', 'People who self identify as communists deserve to be punched.', ""Individuals who seek to limit women's reproductive rights deserve to be punched.""]",'The spread of violence in society will result in a more polarized and toxic political environment.'],1.0,Legitimising MSK<1> sets a bad precedent that could enable further MSK<1> . 
457,617,"This is a slippery slope. If we ban one form of speech, there is nothing but interpretation to prevent other forms from being banned.",Speech can in and of itself be harmful. Such speech should be banned in order to protect those affected.,Certain ideas are fundamentally undemocratic and must be censored to protect a democracy.,Pro,slippery slope,"""Anyone can judge words to be harmful if they don't agree to what is said; a child could claim a mother or teacher's speech is harmful to their right of free thought."", 'If we allow speech to be banned due to being ""fundamentally undemocratic"" politicians could claim that their opposition is fundamentally undemocratic in order to silence them.']","""The only form of speech which ought to be banned is that which encourages suppression of the speech of others. I.e. Karl Popper's theory \\(paraphrased\\): to tolerate the intolerant is to invite them to take over and destroy tolerance. There are several examples globally of this approach being instituted as law without sliding down the slope."", 'This is the argument most often used by extremist groups, such as white supremacists. Rather than stating their ideals outright, they claim their _right_ to express their ideals is being suppressed. This places more liberal people in a moral dilemma, all the while not having anything concrete from the white supremacists that can be responded to.']",1.0,MSK<0> can in and of itself be harmful . Such MSK<0> should be banned in order to protect those affected . 
458,618,"There is as yet no evidence for this slippery slope. If there is a further move in the future to censor another, less harmful form of speech, then we should consider that situation when it arises on its own merits.",Denying service to white supremacists might lead to extensive online censorship of non-mainstream views.,Internet companies are wrong in denying services to white supremacists.,Pro,slippery slope,'-> See 1.10.8.'],"'Censorship can be conducted invisibly, through a practise known as shadow banning Internet companies have few obligations to be transparent in their censorship, and so it is feasible for them to censor as they wish without common knowledge.', '-> See 1.4.7.2.2.8.2.4.1.']",1.0,Denying service to white supremacists might lead to extensive online censorship of non-mainstream views . 
459,619,"This argument is guilty of the slippery slope fallacy. If the government were to consider regulating production \(although for farming, it already does\), or pricing, there would be debate then as well where we can decide those issues.","Government interference with the free market system can easily open the door to further restrictions and control of companies in production, pricing, and ability to compete.","In a market society, the market determined salary of a job functions as a signal, measuring the importance of that job. Government interference leads to a distortion of these signals, and therefore an inefficient distribution of resources.",Pro,slippery slope,],],1.0,"Government interference with the free market system can easily open the door to further restrictions and control of companies in production , pricing , and ability to compete . "
460,620,"If parent's are allowed the authority to perform such an act on their child, this creates a slippery slope for authorities, such as police and judges, to perform such an act on the people they are an authority over. Those police and/or judges may have religious beliefs, such as Sharia law that would allow cutting off your hand for theft.",The choice to circumcise is a religious right.,"In the case of circumcision, the context is an important religious procedure and / or something which may bring health benefits to the child. In both instances, these are positive contexts and intentions.",Pro,slippery slope,],],1.0,The choice to circumcise is a religious right . 
461,621,"The ""slippery slope"" argument is untrue. It is entirely possible to ban certain kinds of speech like white supremacy in a narrowly tailored manner.","It is possible to have functional free speech protections while simultaneously harshly condemning hate speech, like in Germany.",The State is not an adequate actor to determine and regulate hate speech.,Con,slippery slope,],],1.0,"It is possible to have functional free MSK<0> protections while simultaneously harshly condemning hate MSK<0> , like in Germany . "
462,622,It seems pretty clear that we know certain speech is harmful and not useful. It's unclear why banning Nazism for example really leads to a slippery slope.,"It is possible to have functional free speech protections while simultaneously harshly condemning hate speech, like in Germany.",The State is not an adequate actor to determine and regulate hate speech.,Con,slippery slope,],],1.0,"It is possible to have functional free MSK<0> protections while simultaneously harshly condemning hate MSK<0> , like in Germany . "
463,623,"The arrangement would encourage immoral acts in our community, for example encouraging slaves to escape only to return them for profit. Morally, we will be on a slippery slope.",Becoming the slave police will create new income for us because of the bounty for returning runaway slaves.,We would become more powerful if we agree and gain more control over our circumstances.,Pro,slippery slope,'This kind of moral hazard would make it very difficult for us to continue fighting against slavery into the future as we would tie our financial success to slavery. This would perpetuate the institution of slavery into the future.'],'It seems unlikely that slaves would agree to do this given they would be punished harshly upon return. This is especially likely as they would quickly catch on to the fact that they are not actually being offered freedom and refuse to go with us.'],1.0,Becoming the MSK<0> police will create new income for us because of the bounty for returning runaway MSK<0> . 
464,624,This is a slippery slope logical fallacy. Advocates of political correctness generally agree that politically incorrect statements are those that would offend a disadvantaged or discriminated against group in society.,"There is no consensus on what constitutes political correctness. Therefore, any speech could be considered potentially unacceptable.","'Bad feelings' are not off the table. The point is that inflammatory language prevents meaningful dialogue by inciting emotion at the expense of reason. The point of PC is to force people to use language which communicates the ideas, but prevents them from using language which will cause the people who disagree with them to react emotionally to an attack instead of attempting to understand and debate ideas.",Con,slippery slope,"'Not only advocates of political correctness, there is an established definition in this debate of ""language or behavior that can be seen as excluding, marginalizing, or insulting groups of people considered disadvantaged or discriminated against"" and that certainly can\'t be applied to ""any speech"".']","'""Taking offence"" is something personal, and is thus subjective.', 'A slippery slope argument foretells future events, the parent claim is pointing out an existing problem in the present.']",1.0,"There is no consensus on what constitutes political correctness . Therefore , any speech could be considered potentially unacceptable . "
465,626,"PC culture is not closed off to counter-arguments in general, it just sets a standard on how these arguments should be worded \(without verbally discriminating others\). Suggesting that basic rules for what constitutes civil discourse could lead to censorship is a fallacious slippery slope argument.","PC culture on some campuses in the US and UK have a tendency to censor rather than addressing views they disagree with The ""truths"" of progressive viewpoints are seen as unquestionably true and license to demonize anyone who doesn't conform.","PC culture stifles the ""marketplace of ideas"", wherein all ideas are welcome in public discourse, but the bad ones are weeded out, and only the best, most beneficial ideas become broadly accepted.",Pro,slippery slope,],],1.0,"PC culture on some campuses in MSK<0> have a tendency to censor rather than addressing MSK<1> MSK<0> disagree with The "" truths "" of progressive MSK<1> are seen as unquestionably true and license to demonize anyone who doesn't conform . "
466,627,"This is a 'slippery slope' argument based on a non-sequitur fallacy. This has never come about as a result of widespread public demand for the normalisation of inoffensive language, which is what political correctness is.","If the government becomes the arbiter of what's considered ""correct speech"", it will use that power for self-preservation, as authoritarian governments have throughout history.",A culture of political correctness paves the way for authoritarianism.,Pro,slippery slope,],],1.0,"If MSK<0> becomes the arbiter of what 's considered "" correct speech "" , MSK<0> will use that power for self - preservation , as authoritarian governments have throughout history . "
467,628,This is a slippery slope argument - a known logical fallacy. It has not happened before.,A culture of political correctness paves the way for authoritarianism.,Political correctness is detrimental to society.,Pro,slippery slope,],],1.0,A culture of political correctness paves the way for authoritarianism . 
468,629,Slippery slope: one could use similar reasoning to justify retaking any election/vote.,In the previous vote the details of what Brexit means were unclear.,A further referendum should be held on Brexit,Pro,slippery slope,],],1.0,In the previous vote the details of what Brexit means were unclear . 
469,630,This is a slippery slope fallacy.,"The space-saving argument has no place in determining policy, or else this risks using the same argument to legalise any crime.",Legalizing cannabis will free up space in courtrooms and prisons.,Con,slippery slope,],],1.0,"MSK<0> has no place in determining policy , or else this risks using MSK<0> to legalise any crime . "
470,631,It is a slippery slope once rights start to get discarded: Eradicating an important right like privacy means that the sacred nature of rights is violated. Eradicating that sanctity may lead to the elimination of other fundamental ideas like freedom/liberty or the right to fair trial also being abandoned since the state is unwilling to respect ideals that citizens hold dear.,"Safety is a prerequisite for enjoying liberty. If an individual is not safe, it hardly matters how free they are.",Compromising liberty and privacy for the purpose of security is counterproductive.,Con,slippery slope,"""The holocaust in Germany was not an instant process. People wouldn't instantly have accepted concentration camps springing up. Rather it was a slow development towards genocide with a gradual dehumanizing of Jewish people in public and a slow eradication of their rights."", ""Stalin's rise to power included slowly purging his opponents one by one and developing stricter controls over the populace. Springing up a totalitarian state immediately post revolution in Soviet Russia would've been unsustainable. Rather it was the slow move towards totalitarianism that allowed it to be sustained."", ""Napoleon didn't immediately become emperor in post revolutionary France because libertarian ideas were still high. Instead he slowly rose to power and established popularity within the people before doing away with ideas like democracy and instead proclaiming himself Emperor.""]",],1.0,"Safety is a prerequisite for enjoying liberty . If MSK<0> is not safe , MSK<0> hardly matters how free MSK<0> are . "
471,632,"This logic leads onto a slippery slope that would justify pretty much any treatment of inmates, no matter how unethical.","The mere fact that they are on death row means that their human right to live will already be violated. Thus, it means that their right to their body upon their deaths can be forfeit as well.",Death row inmates should be required to donate their organs upon their death.,Pro,slippery slope,],],1.0,"The mere fact that MSK<0> are on MSK<1> row MSK<2> that MSK<0> human MSK<3> to live will already be violated . Thus , it MSK<2> that MSK<0> MSK<3> to MSK<0> body upon MSK<0> MSK<1> can be forfeit as well . "
472,633,The physical GM of animals in production through the CRISPR is already on a slippery slope. To now  start altering them neurologically is a step too far in the God complex.,Genetically modifying animals for slaughter is unethical.,Genetically modifying livestock so that they don't feel pain is a viable alternative to veganism for reducing animal suffering.,Con,slippery slope,],'There is nothing inherently wrong with going against natural selection and evolution. The process would likely be similar to gene therapy and in-vitro fertilization already done in humans.'],1.0,Genetically modifying animals for slaughter is unethical . 
473,634,This is a slippery slope argument.,"This notion strays dangerously into postmodernist relativism. If we continue down this path, then words and concepts lose all meaning, as they are diluted by conflicting and ever-changing definitions.",We ought to align our definitions of sex in useful ways that help define phenomena and problems so we can clearly see the path forward toward treating one another better.,Con,slippery slope,],],1.0,"This notion strays dangerously into postmodernist relativism . If we continue down this path , MSK<0> lose all MSK<1> , as MSK<0> are diluted by conflicting and ever - changing MSK<1> . "
474,635,"Criminalizing something that is harmless, because people don't accept it, is a slippery slope.",Homosexuals are often excluded of society.,Homosexuality could be negative for the individuals in question.,Pro,slippery slope,],],1.0,Homosexuals are often excluded of society . 
475,636,Saying that killing another living thing is inherently immoral leads to a very slippery slope. What immediately comes to mind is that in order to adopt vegetarian or vegan lifestyle you participate in depriving many plant based living things of their existence \(life\).,Killing animals wrong because a less ethically wrong alternative that involves killing - eating plants - is available.,Killing animals for food is ethically acceptable.,Con,slippery slope,],],1.0,MSK<1> animals MSK<0> because a less ethically MSK<0> alternative that involves MSK<1> - eating plants - is available . 
476,637,"This is a slippery slope which may lead to a situation where journalists stop publishing all sorts of potentially harmful content, for example stories that are newsworthy and important but might trigger traumas in readers.",Journalists have an obligation to do no harm.,Journalists have a moral obligation to display violent images.,Con,slippery slope,],'Most contents of violence serve no purpose for readers but to induce panic or trigger traumas.'],1.0,Journalists have an obligation to do no harm . 
477,638,"The inclusion of gay couples into marriage is a non sequitur. Claims that ""you changed this, so why not change that"" bear strong resemblance to slippery slope arguments and are equally irrelevant unless one can establish a necessary link.","From the moment a government accepts gay marriage, the definition of a couple and thus the constraints of monogamy becomes irrelevant.",Polygamy should be legal.,Pro,slippery slope,],],1.0,"From the moment a government accepts gay marriage , the definition of a couple and thus the constraints of monogamy becomes irrelevant . "
478,639,Exposing children to differing ideas and viewpoints is not a bad thing. There is no single authority on what exactly should be considered a contradiction or mixed message; that is a slippery slope.,"Schools should be a place where logic, reason, facts, data, and science prevail. Many religions often contradict and are at odds with the lessons and subjects taught by teachers, sending mixed messages to the students.",Religious symbols would distract children from learning.,Pro,slippery slope,],],1.0,"Schools should be a place where logic , reason , facts , data , and science prevail . Many religions often contradict and are at odds with the lessons and subjects MSK<0> by MSK<0> , sending mixed messages to the students . "
479,640,"The cost of a roll is historically low. If the plan is to reduce it now because it costs too much, we will have to revisit the roll size again when price increases. Changing aspects of the network based on price is a slippery slope.",Amendment Proposal #2: Would increase the current gas limit AND reduce the roll size requirement.,Which amendment proposal offers Tezos the most value?,,slippery slope,],"'This reduction has nothing to with price, but rather on how resource efficient it is for the tezos node to manage all the rolls on the network.']",1.0,Amendment Proposal # 2 : Would increase the current gas limit AND reduce the roll size requirement . 
480,642,"This is a slippery slope argument. While criticising NATO could weaken ties and trust, it does not necessarily mean it will create a chain reaction of weakening NATO itself, which will then lead to problems of the future.","Criticizing NATO, NATO Allies and thinking of reducing the NATO budget will weaken ties and trust among the organisation, thus weakening the partnership, which could cause problems in the future.",Something that seems to be good for the USA in the short term does not necessarily mean it is good for the USA in the long term. Long term ramifications are likely to weaken the USA in a variety of areas.,Pro,slippery slope,],],1.0,"Criticizing NATO , MSK<0> Allies and thinking of reducing the MSK<0> budget will MSK<1> ties and trust among the organisation , thus MSK<1> the partnership , which could cause problems in the future . "
481,643,This argument represents a slippery slope fallacy It is by no means certain that the infliction of pain being accepted in a certain context makes it more likely to be accepted in other contexts.,"If the infliction of pain becomes acceptable in the case of criminals, it is more likely to be seen as acceptable in other forms and the resurgence of such cruel acts becomes more likely.",Executions should be painful.,Con,slippery slope,"'Legalization of marijuana was repeatedly opposed by slippery slope arguments that marijuana consumption is a gateway to heavy drug abuse, such as in California or North Carolina Yet, the example of Colorado illustrates that these concerns did not materialize.', 'The government imprisons people, but that does not make kidnapping any more prevalent.']",],1.0,"If MSK<0> becomes MSK<1> in the case of criminals , MSK<0> is more MSK<2> to be seen as MSK<1> in other forms and the resurgence of such cruel acts becomes more MSK<2> . "
482,644,"Legalization of marijuana was repeatedly opposed by slippery slope arguments that marijuana consumption is a gateway to heavy drug abuse, such as in California or North Carolina Yet, the example of Colorado illustrates that these concerns did not materialize.",This argument represents a slippery slope fallacy It is by no means certain that the infliction of pain being accepted in a certain context makes it more likely to be accepted in other contexts.,"If the infliction of pain becomes acceptable in the case of criminals, it is more likely to be seen as acceptable in other forms and the resurgence of such cruel acts becomes more likely.",Con,slippery slope,],"'Marijuana was only legalised in Colorado in 2014. This is an insufficient period of time to measure whether this will lead to greater acceptance, preponderance or use of other more dangerous drugs.']",1.0,MSK<0> represents a slippery slope fallacy MSK<0> is by no means MSK<1> that the infliction of pain being MSK<2> in a MSK<1> MSK<3> makes MSK<0> more likely to be MSK<2> in other MSK<3> . 
483,646,Using the original inhabitants theory is a slippery slope fallacy one could easily argue that every country in Europe and the Americas should be given back to the natives that originally occupied the land.,"Jews have a stronger claim to the land; as the original inhabitants, they were dispossessed and exiled by the Romans in the first century. The land was subsequently invaded and occupied by several succeeding empires.","Palestinians have a strong claim to the territory. Israel, therefore, shouldn't be given an exclusive right to the territory.",Con,slippery slope,],],1.0,"MSK<0> have a stronger claim to MSK<1> ; as the original inhabitants , MSK<0> were dispossessed and exiled by the Romans in the first century . MSK<1> was subsequently invaded and occupied by several succeeding empires . "
