,Label,Argument,Claim,Type of Argument,Type of fallacy,Pros,Cons
1480,"Unregulated sectors of human activity \(political or financial\) inevitably lead to power being accumulated in the hands of the few. This phenomenon has been observed in a variety of contexts, and is variously referred to as thePareto Distribution 80/20 Rule or the Mathew Effect",Inherent information asymmetries between players in a market inevitably give rise to monopolies that could result in tyranny. Redistribution prevents that.,The absence of a welfare state is immoral.,Pro,,"'The Nordic System adopted by many European countries has measurably reduced income inequality and limited poverty. Therefore, measures can and have been taken to mitigate the natural accumulation of wealth to the upper echelons of society.']","'""The hands of the few"" means a small percentage of the population. Which individuals, in flesh and blood, this percentage consist of, however, does change over time. Hence, the underlying idea that some specific group of individuals will gather the riches, is inherently misleading.', 'There is no known effective method for combating this tendency"
1481,"It is immoral to force those who, through no choice of their own, were born into a specific position within \(a welfare\) society, who lack either the will, the ability, or both to meaningfully participate within it \(etc., etc.\)","It is immoral to force those who, through no choice of their own, were born into a specific position within \(a capitalist\) society, and who lack either the will, the ability, or both to meaningfully participate within it, particularly when the options to leave are linked to the position of birth, and are more platitude than reality. Those with the volition and ability to participate in dominant culture add to that domination, and therefore hold personal responsibility towards those less capable.",The absence of a welfare state is immoral.,Pro,,],]
1482,"Income redistribution is fundamentally unjust, and simply theft, by a different name. It requires a class of elites to act as judge over the rest of the populace, with arbitrary values like ""need"" as there only standards",Income redistribution provides the greatest good for the greatest number by taking wealth from those who need it least and giving it to those who it will benefit most.,The absence of a welfare state is immoral.,Con,,],]
1483,The welfare state is not necessary to ensure our rights as human beings.,The welfare state is necessary to ensure our rights as human beings.,The absence of a welfare state is immoral.,Pro,,"'According to the Declaration of Human Rights, it is not the role of the state to provide free money to its citizens. It needs to only ensure that willing citizens are capable of fulfilling their human rights without making unreasonable effort.']",]
1484,Many COVID-19 conspiracy theories are shared on end-to-end encrypted social media such as WhatsApp These a virtually impossible to police.,Censorship ensures people fact-check and know they're being policed which should make them think twice before spreading lies or fear-mongering.,Censorship is a slippery slope. Any level of censorship may cause more trouble than good.,Pro,,],]
1485,"In the timespan of the COVID-19 pandemic alone, epidemiology has evolved and expanded significantly. A censorship-free environment will allow epidemiology to progress even further.","A climate of censorship may have a cooling effect on critical discussion, which is particularly important given that the field of epidemiology can trace its origins back to a cholera outbreak in London in 1854.) is relatively new.",Censorship is a slippery slope. Any level of censorship may cause more trouble than good.,Pro,,],]
1486,"Fear is often disarming, so people who succumb to fear-mongering are more likely to invest their energy in avoiding the perceived harm than questioning whether it is indeed harmful.",Spreading misinformation for fear-mongering may encourage people to search for information themselves and educate themselves/others.,Individuals should be censored for making false statements about Covid.,Pro,,],]
1487,"If people cannot agree on fundamental facts from which to discuss politics and policy, then the concept of democracy breaks down because the electorate cannot meaningfully debate anything that matters.",It is crucial to a functioning society that established facts are taken as read.,Individuals should be censored for making false statements about Covid.,Pro,,],'Truly fundamental facts can stand on their own without the need to censor comments that disagree on such facts.']
1488,"Given the democratization of content creation with the advent of the Internet and social media, it is not possible to ensure that all sources have undergone proper examination.","Sources must undergo proper examination of information to further assess the credibility and factual accuracy of the information to be spread to people in order to eliminate the further possibilities of giving false beliefs to people, resulting to many chaos and mental dilemmas such as anxiety.",Individuals should be censored for making false statements about Covid.,Pro,,],"""If it's impossible to vet for misinformation, then that might suggest a blanket ban is the only way forward.""]"
1489,"Censorship works only when those conducting the censorship do so unbiasedly, and base their decisions on scientific studies while providing the data their decisions were based on which is rarely seen with censorship.","Censorship helps reduce misinformation surrounding Covid-19, especially surrounding vaccines.",Individuals should be censored for making false statements about Covid.,Pro,,],]
1490,"In the context of communicable diseases, individuals should not be left to decide what to believe because it could have serious knock-on effects on other people.",The responsibility of differentiating fact from fiction is that of the individual and no one else.,Individuals should be censored for making false statements about Covid.,Con,,],]
1491,Most people making verifiably false statements about Covid are not sufficiently qualified in epidemiology or public health policy to have anything valuable to contribute to the conversation.,"Reducing the freedom of speech of a group of people limits the amount of active and critical thinking about Covid-19, and limitations on perspectives have never been a good thing - they limit us as a society and as the individual.",Individuals should be censored for making false statements about Covid.,Con,,],'Such false statements can still be of value for the purpose of putting the ideas out so they can be criticised by the public.']
1492,"A statement about Covid could be true one day but false the next. In the beginning, medications that were supposed to help, have now been proven to not do anything. Censoring/banning people is an overreach in those situations.",Censorship would be hard to implement fairly given that the science is constantly evolving.,Individuals should be censored for making false statements about Covid.,Con,,],'Censoring would only apply in cases where people are intentionally spreading information that was known to be false. People would not be retroactively censored for making statements that were believed to be true at the time and then later found to be false.']
1493,A study found that corn-based products would be priced 6% higher and soybean-based products would be 10% higher if it weren’t for GM crops \(p.2\).,Genetic modification means less money is being spent on producing food.,The US should ban the production and distribution of genetically modified foods.,Con,,],]
1494,Genetic modification means that fewer pesticides and herbicides are necessary.,Genetic modified foods are less taxing for the environment than food produced through traditional means.,The US should ban the production and distribution of genetically modified foods.,Con,,"'With genetic modification, plants can produce their own insecticide rather than needing spraying with potentially toxic chemicals.']",]
1495,"There will be less availability of produce to choose from, which could counter efforts of people trying to eat healthier foods.",People should have the right to choose what they eat. The government should never ban any food items.,The US should ban the production and distribution of genetically modified foods.,Con,,],]
1496,Patents will expire and the technology behind the patents can benefit food production in general.,GMO increases corporate hold over food production through their patents,The US should ban the production and distribution of genetically modified foods.,Pro,,],]
1497,"Genetic modification, whether through cross-breeding or genetic modification, can create dangerous foods, such as Lenape potatoes It is best to avoid this risk entirely.",Genetically modifying food causes health issues.,The US should ban the production and distribution of genetically modified foods.,Pro,,],"'This means that GMO foods should be extensively tested for safety before being sold, just like drugs are, not that GMO foods should be banned.']"
1498,Punching a person is not an extreme enough of a measure to change their ideology.,"By using violence against Nazis, we can reduce the number of people who become Nazis.",It is okay to punch a Nazi.,Pro,,],'Making an example of an individual can help change other peoples minds.']
1499,Authorizing violence against a minority group for ideological reasons is a very Nazi-like thing to do.,The use of violence against a Nazi is immoral.,It is okay to punch a Nazi.,Con,,],"'Nazis are not the same as those groups against whom they authorize violence. Thus, authorizing minor violence against Nazis is not Nazi-like.', 'Nazis advocate violence based on immutable and/or unchosen characteristics of the people they target \\(race, sexuality, cultural heritage, phenotype, etc\\). Advocating violence towards someone because of their beliefs and the damage those beliefs cause is not comparable, since people choose to have those beliefs.']"
1500,Throwing a milkshake wastes good ice cream.,Alternative methods of physical social reprimand might be wasteful.,It is okay to punch a Nazi.,Pro,,],"'It could be argued that effecting social change for the betterment of both society at large, and especially the most vulnerable members of that society is a very good use for ice cream, and not a waste at all.', ""If the milkshake didn't taste good, throwing it at a Nazi wouldn't be a waste.""]"
1501,Nazi punchers could wear boxing gloves.,Punching can seriously hurt the puncher's hand.,It is okay to punch a Nazi.,Con,,],]
1502,"Nazi ideology doesn't automatically convert into Nazi action. John Rabe for example, was a Nazi party member but saved countless lifes during the Japanese Massacre of Nanjing.",Nazis deserve to pay for the crimes they committed.,It is okay to punch a Nazi.,Pro,,"'Oskar Schindler was a member of the Nazi Party who is credited with saving the lives of 1,200 Jews.']","""Fascist will work with out-groups if it benefits them at the time. The Germans and Japanese were both nationalist countries and benefited from being ally's. A sort of - the enemy of my enemy is my friend - attitude.""]"
1503,Responses need to adhere to the proportionality principle It is unproportional to answer the promotion of violence with immediate violence.,Someone who promotes an inhumane ideology that stands for crimes against humanity should be reprimanded.,It is okay to punch a Nazi.,Pro,,],'-> See 1.3.3.2.1.1.1.']
1504,"This action should not be judged based on what is permissible in a liberal democracy. Liberal democracy is not the only form of democracy, people who believe in direct democracy, anarchism, or democratic socialism might disagree with liberal democracy.",Punching Nazis violates the principles of liberal democracy.,It is okay to punch a Nazi.,Con,,],]
1505,The incitement of violence is not unique to white supremacists.,Such a move is morally inconsistent as long as it is only applied to white supremacists.,Internet companies are wrong in denying services to white supremacists.,Pro,,"'Incitement of violence against white supremacists is no different than incitement of violence against other groups. If white supremacists must be censored to protect other groups, then those who endanger the lives of white supremacists must be censored as well', ""The concept of 'punch a Nazi' went viral, leading many white supremacists to fear for their personal safety; yet, there are no suggestions to censor those holding that viewpoint."", 'Feminists have advocated for the death of all men in the past and have still retained their freedom to speak.']","'Punching people is in no way comparable to directly calling for or indirectly proposing the mass murder of whole ethnic or religious groups.', 'Attacks on white supremacists can be understood as acts of self-defence.', ""Every threat to public safety and people's lives needs to be assessed on its own merits. If white supremacists pose a threat to the public, this threat needs to be addressed, regardless of what else is out there.""]"
1506,A failure to discuss the issues of relevance to voters results in a misapprehension of voter sentiment. Stopping discussion of real issues does not change people's standpoint on those issues. Voters who cannot air their views in public will instead do so in the voting booth where they have perfect anonymity and right to do so.,Censoring any view from the market place of ideas limits public debate and thus undermines the democratic process.,Internet companies are wrong in denying services to white supremacists.,Pro,,],]
1507,Internet companies risk assuming liability for any and all user content if they make a practice of censoring white supremacists. They can no longer claim to be neutral conduits for information expressed by users.,It is in the interest of Internet companies to deny services to white supremacists.,Internet companies are wrong in denying services to white supremacists.,Con,,'-> See 1.1.1.5.3.2.2.1.3.1.6.2.1.4.2.'],"'Any type of censorship conducted by internet companies can result in them assuming a degree of liability. The protection of people is far more important in this case.', 'Internet companies, at least in the US, are not legally liable for the content expressed on their platforms. Taking voluntary action to prevent the spread of dangerous speech is not going to change the opinion of courts on what the legal duties of internet companies are.']"
1508,Speech can in and of itself be harmful. Such speech should be banned in order to protect those affected.,Certain ideas are fundamentally undemocratic and must be censored to protect a democracy.,Internet companies are wrong in denying services to white supremacists.,Con,,'-> See 1.1.1.5.3.4.10.1.'],"'The fact that speech can cause harm does not mean that it necessarily does. Whether harm has been caused to an individual, and if yes, to what degree, is entirely subjective.', 'This is a slippery slope. If we ban one form of speech, there is nothing but interpretation to prevent other forms from being banned.']"
1509,"As long as they are part of the democratic process and have a chance of gaining power through it, white supremacists have an interest in maintaining it. Once they are excluded, they have nothing to lose.","If they are excluded entirely from democratic discourse, white supremacists are likely to lose all respect for the political system and attack it more passionately. In the long run, this creates new threats for democracy rather than protect it.",Certain ideas are fundamentally undemocratic and must be censored to protect a democracy.,Con,,],]
1510,White supremacist speech and related hate speech often involve explicitly telling members of minority groups that they are inferior.,White supremacism's promotion of inequality based on race runs counter to a fundamental pillar of democracy: equality.,Certain ideas are fundamentally undemocratic and must be censored to protect a democracy.,Pro,,],]
1511,"Democracy is built on the right to express. If your expression takes the rights away from anyone inside this democracy, you by definition are acting undemocratically. Blocking ""any type"" of extremists is required for the healthy functioning of a democracy. The system needs to protect itself.","Denying free speech to a person is undemocratic, even if that person promotes undemocratic ideas.",Certain ideas are fundamentally undemocratic and must be censored to protect a democracy.,Con,,],]
1512,"Counterterrorism is orchestrated by governments, not independent companies. Governments have already made it clear - including in democracies like the UK - that they consider the only way to combat terrorism is ""to intercept a substantially greater volume of communications"". If Internet companies comply with governments to censor and investigate even when there is no wrongdoing that constitutes an invasion of privacy on a large scale, counterterrorism notwithstanding.","White supremacists deserve privacy just like any other individual in society does. Regardless of whether they should be censored, they should not be subject to extra surveillance simply because they hold views that are objectionable to some.","The information posted online by white supremacists can be used for counterterrorism operations against groups that are deemed a threat, or to investigate crimes.",Con,,],]
1513,"There are more opportunities for random acts of terrorism, which increases the likelihood of a violent act against an individual, as Andrew Anglin did with a Jewish real estate agent in Montana.","Yet an online presence also allows white supremacists to organise and carry out such acts. It is better to prevent them from ever happening, rather than to allow them to happen and hope that counterterrorism agencies will catch them in time.","The information posted online by white supremacists can be used for counterterrorism operations against groups that are deemed a threat, or to investigate crimes.",Con,,],]
1514,"Then jeans are not pants, because we have a different word for them.",Leggings are leggings and pants are pants. There exist different words for them for a reason.,Leggings are Pants,Con,,],]
1515,"This is often rather because leggings are seen as informal and casual wear; jeans are rarely allowed in workplaces either, despite being trousers.",Many work dress codes don't allow them to be worn in place of pants.,Leggings are Pants,Con,,],]
1516,"Many tights are also made from opaque fabric; this does not, however, mean that they are considered trousers.",They are made from opaque fabric.,Leggings are Pants,Pro,,],]
1517,"And I will fight you wearing a kilt, and because that kilt also gives me full range of motion, I will call it leggings, and ergo pants. Plaid pants.","I will physically fight anyone who says that they aren't pants, and I will win. I will be wearing leggings as pants and will therefore have a full range of motion thus giving me the combative advantage.",Leggings are Pants,Pro,,],]
1518,"This does not necessarily prove that leggings can be classed as trousers. The gym in question may well have been simply expressing that anything too revealing of the bottom half of one's body cannot be worn to the gym; since trousers/pants are usually a safe bet for 'covered' clothing, they used them as their paradigm.",My gym has a sign that says no pants no service. They continue to give me service when I wear leggings to the gym.,Leggings are Pants,Pro,,],]
1519,"There is a difference between tights and leggings, even in anglophone countries.","In some anglophone countries, they are called 'tights'. This suggests that they are closer in definition to tights than to proper trousers/pants.",Leggings are Pants,Con,,],]
1520,"While the specific aspects might be different, the general conceit \(violence, murder, risk of death\) remains constant, and thus people can consent into the principles without knowing the details of how those principles will be applied.","Given that the games would need to be different each time to attract an audience \(which is presumably their purpose, as with all sport\), it is inherently impossible for an individual entering the games to properly understand and consent to what is likely to happen to them.",It is difficult to ascertain proper consent to compete in these games.,Pro,,],"'That standard is not the one we generally apply in society; it is a requirement that people understand the practical impact of what they are consenting to. For example, sexual consent is not simply a matter of consenting to the general principles, we expect that an individual should be able to know how those principles manifest before consent is attained.']"
1521,"While they are unable to give continual consent as the game progresses, they know the types of choices they will have to make in order to win.","In order to survive in these games, it is necessary to resort to increasingly depraved behaviour as the competition becomes increasingly difficult. Even if a competitor can consent to the initial games, it becomes harder for them to continually evaluate the games as they progress.",It is difficult to ascertain proper consent to compete in these games.,Pro,,"'Ultimately, participants will need to kill in order to win the games. If they are willing to consent to this, it is fair to assume that they understand what they will face in the games.']",'-> See 1.7.2.2.2.']
1522,One example of this is providing sexual consent. This can be removed at any point if one person no longer feels comfortable participating in an act.,True consent is that which can be removed at any point if someone no longer wants to agree to participate in an act. It may not be easy or possible to remove consent to participate in these tournaments once they are under way.,It is difficult to ascertain proper consent to compete in these games.,Pro,,],]
1523,"Just like you can't prove or disprove the existence of logic, you can't prove nor disprove the existence of purpose. It's an argument that leads nowhere.","All forms of teleological arguments require ""teloi"" \(""purposes""\). Until its existence is proven, teleological arguments all fail until purpose is shown to exist.",Teleological arguments support the existence of God.,Con,,],]
1524,"Just because we don't know if certain things have meaning, order or design, doesn't mean they don't have one.","Some things have meaning, order and design. Many things do not. The teleological argument for God's existence makes the mistake of assuming that the traits of some objects must belong to all objects. That assumption is not justified.",Teleological arguments support the existence of God.,Con,,],]
1525,"It is very unlikely that unguided evolution would happen to create identical, complex features among unrelated species.",Convergent evolution has been observed and is more likely under intelligent design than unguided evolution.,Teleological arguments support the existence of God.,Pro,,],"'If the features are highly adaptive and as simple as possible, unguided evolution would predict that unrelated species could independently evolve it.']"
1526,"The discovery of a natural explanation is irrelevant for the existence of a designer. In other words: The teleological argument is not nullified by such discovery. An explanation of a Ford car in terms of Henry Ford as inventor and designer does not compete with an explanation in terms of mechanism and law, as professor John Lennox points out.",Teleological arguments based on the existence of specific things are nullified if natural explanations are discovered for those things.,Teleological arguments support the existence of God.,Con,,],]
1527,Materialism provides a satisfactory explanation of consciousness which does not require a God.,Arguments from consciousness support the existence of God.,Teleological arguments support the existence of God.,Pro,,],"'As philosophers like Nagel, Levine and Chalmers have shown, conscious states cannot be identified with physical / natural states. Hence, conscious states are incompatible with physicalism/naturalism, though they are compatible with theism. Thus, conscious states give us reason to prefer theism over physicalism/naturalism.']"
1528,The belief in the existence of God contributes to social progress. Thus 'God exists' is true because the concept operates successfully within a conceptual scheme that advances the wellbeing of humanity.,Pragmatic arguments support that people should believe in God.,Philosophical arguments support the existence of God.,Pro,,],"""The same could be said of non-belief in the existence of God based on the advancement of human well-being in secular countries like Japan and Sweden. Thus 'God does not exist' is true because the concept operates successfully as well.""]"
1529,"This is not true of Aristotles first mover argument, also known as the argument from contingency.","Philosophical arguments which support the existence of one God would also support the existence of many Gods, hence undermining the classical depiction of the monotheistic God.",Philosophical arguments support the existence of God.,Con,,'The original cause has to be one because if it were a committee nothing would ever get done as we know from experience.'],]
1530,"Whether there are good reasons or not to believe in something does not affect its existence. By this logic, if God did not exist, and I had a reason to believe God existed, God would suddenly exist.",Occam's razor suggests that the absence of evidence of God's existence is some evidence for the absence of God.,Philosophical arguments support the existence of God.,Con,,"""The same logic also holds for the contrary. Even if everybody were to believe that God does not exist, it would not affect God's existence.""]","'Personal reasoning is not the same as evidence. While there might be a reason/belief behind believing that a God does not exist, there is evidence/fact to prove that there is a God who exists.']"
1531,A field being theoretical does not mean evidence from that field should be ignored.,"Philosophical arguments are mostly theoretical, and not empirical.",Philosophical arguments support the existence of God.,Con,,"'Mathematics is a largely theoretical, but still important, field.']",]
1532,The assertion that reason is immaterial is completely baseless and is the entire basis for the argument here.,"If there is no God, there is no rationality; there is simply a chemical reaction in your brain. If all that exists is material, then if God didn't exist, you wouldn't be able to know it. ""Reason"" is immaterial.",Philosophical arguments support the existence of God.,Pro,,],]
1533,Classical theism is more well-supported than materialism,Classical theism is more well-supported than any competing position.,Philosophical arguments support the existence of God.,Pro,,"'A materialist position on the origin of physical reality is less credible than a theistic position.', 'A materialist position on the nature of moral truth is less credible than a theistic position.', 'A materialist position on the human mind is less well supported than a theist position.', 'A materialist position on human free will is less credible than a theistic position.']","'As materialism is defined largely in terms of what it excludes, this is asking for evidence of absence.', 'As a majority of philosophers accept or lean towards physicalism this is in contradiction with expert opinion.']"
1534,"There is no reason to think why we, in principle, could not know. It might be the case that if all the arguments in favor of God's existence are not on balance enough to justify belief that we do not know, but there is no reason that we could not possibly know.",Agnosticism holds that the lack of evidence makes it impossible to know whether God exists.,Philosophical arguments support the existence of God.,Con,,],]
1535,"Philosophical arguments which originated during early human history, especially from career philosophers were in fact cogent and sound and have contributed to the understanding of logic ever since.",Philosophical arguments for God all originated at a time and from people who were not capable of providing sound arguments for their beliefs. This is because social pressure gave people no option to consider other viewpoints,Philosophical arguments support the existence of God.,Con,,],]
1536,God can be subjective and still exist.,"According to the nihilist viewpoint, God does not exist.",Philosophical arguments support the existence of God.,Con,,"'Many argue that numbers and even ""random"" ideas have real existence \\(platonism\\).']","'If God is subjective, then being ""God"" is not a property of the object, but intrinsically an ideal ascribed within the view of someone looking at the object from a certain prism.', 'The God of classical Theism is the uncreated creator of all created things. A god that is subjective is, by definition, a created thing. Thus the two definitions are completely incompatible.']"
1537,"If God exists in only one universe, then that would imply that God is neither omnipresent, nor eternal, nor omnipotent. It would turn God into just another ordinary being.","As there is an infinitude of universes, there may be an infinitude of Gods, or, Creators of these infinitude of universes.",Philosophical arguments support the existence of God.,Pro,,],]
1538,"It is in the nature of all rational beings to perfect themselves. Therefore, God is probably a super-historical descendant of rational beings; or the ultimate expression of rationality.",Transhumanist arguments support the existence of God.,Philosophical arguments support the existence of God.,Pro,,],"'The urge to perfect ourselves takes us to the uncomfortable conclusion that human goals are not commensurate. Should these be symbolized by the human mind, we will have the Gods as conflicting and warring psychological principles, rationality being but one of them. None of this is a cause for us to believe in an existing, non-mind dependent, God.', 'The suggestion that God is ""probably a super-historical descendant of rational beings"" is logically inconsistent. It would necessitate that, at some point, there was an authority superior to God, which would contradict God as being the ultimate authority and thus disqualifying Him as God.']"
1539,"By logic, the universe shouldn't exist, but it clearly does, so one cannot depend on philosophical arguments to prove the existence of God.","Philosophical arguments support the existence of God, the non-existence of God, and the concept that any attempt to prove or disprove the existence of God is futile. Therefore, philosophical arguments are not a reliable means to support the existence of God.",Philosophical arguments support the existence of God.,Con,,'-> See 1.3.10.5.1.1.3.1.1.'],"""Philosophically the existence of the universe is compatible with God's existence."", 'Logic checks for inconsistencies in reasoning. There is no contradiction between logic and the existence of the universe.']"
1540,The word 'God' refers to a concept that is defined by its valid functional role within a conceptual scheme.,No statement with the word 'God' as a subject or predicate can be meaningfully made \(such as 'God exists'\) because the word 'God' is not meaningful.,Philosophical arguments support the existence of God.,Con,,],]
1541,"Even when choosing to pick blindly, the individual is choosing according to his nature given the external conditions.","The lollipop shown here are all of 4 distinct, types, but otherwise entirely identical, and it's set up so that to get a lollipop, one must choose which lollipop they want, but the display doesn't cause confusion, people don't scan the lollipops for defects until they have ruled out all but one, they just make a decision, and go.","Consider the instance when a entity without libertarian free will has weighed two options as equally good, and there is urgency, meaning there is no time for further evaluation, without the ability to make decisions outside of their evaluation, they would freeze, and take the usually worse default action, as we can make these decisions, we know libertarian free will exists.",Pro,,],]
1542,"If it were God's will that those actions not be done, an all-knowing, all-powerful, and benevolent being would do something to stop those individuals from gaining those positions of power. Yet, through the course of history has not done so.","Religious leaders and this so called ""Subversion"" are their choices as individual leaders which are fundamentally people still. God is Immutable and also God is able to change any aspect of Creation.Creation is an aspect of God's will or in other words:creation is one of God's artworks painted with the crayons of life and death.","The shared understanding of God is disassociated from the record of how religious leaders act in accordance to their shared core beliefs, on such a large scale that would suggest there was no God at all.",Con,,],]
1543,"God's will includes granting permission to humans to misbehave. This is neither a subversion of his will, nor a contradiction of immutability.",God is not immutable. Religious leaders subvert his will in the aim of greater political power and material wealth.,"The shared understanding of God is disassociated from the record of how religious leaders act in accordance to their shared core beliefs, on such a large scale that would suggest there was no God at all.",Pro,,],]
1544,"Then God is either not all powerful, or all good.","The ""disassociation"" from the ""record of how religious leaders act in accordance to their shared core beliefs"" \sic\] could equally ""suggest"" that God as described in the Bible does in fact exist and that he did in fact create beings with the capacity for meaningful choice, even the choice to act in discordance with his own personality and design.","The shared understanding of God is disassociated from the record of how religious leaders act in accordance to their shared core beliefs, on such a large scale that would suggest there was no God at all.",Con,,],]
1545,Such generalizations can be made of any reasonably large group of people.,"Making blanket generalizations about all ""religious leaders"" on the basis of the behavior of some ""religious leaders"" is invalid.","The shared understanding of God is disassociated from the record of how religious leaders act in accordance to their shared core beliefs, on such a large scale that would suggest there was no God at all.",Con,,],]
1546,"This is an example of normative ethics, the discussion of what is right and what is wrong. The moral argument is an exercise in metaethics, the question of what moral statements mean and how they come to exist, which is very different.",Morality itself doesn't support or refute anything as a fact but rather provides an argument why one action should be taken above another.,"Morality does not factor into the existence, or non-existence of an entity.",Pro,,],]
1547,"The word translated as ""faith"" in English is the Greek word ""pistis"", a word used in the technical language of Ancient Greek rhetoric. Aristotle gives the definition in his book ""Rhetoric"" as ""forensic proof"" when used as a noun, and ""trust based on evidence"" when used as a verb. This changes the Biblical definition of faith from the more modern ""belief in something you cannot prove"". The NT provides historical claims to public acts that Jesus performed as evidence for ""pistis"" in Christ.","There are no empirical proofs or conclusive logical-philosophical demonstrations of the existence of God. God is only known in faith. You can never 'prove' the nature of that experience to those without faith, as by definition that experience is personal.","In order to know God, one must believe that God exists while engaging in faithful practice.",Pro,,],]
1548,"There is a difference between personal knowledge, and abstract understanding. Aristotle reasoned his way into abstract understanding of the existence of God, but \(as far as we know\) did not have the gift of the Holy Spirit, or any other personal experience of God.Thus it is possible to know that God exists without faith.",It is possible to know that God exists without faith.,"In order to know God, one must believe that God exists while engaging in faithful practice.",Con,,],"""This would be an equivocation fallacy. The parent claims 'to know' the child claims 'understand' these words do not mean the same thing. One can understand a person by reading all their personal journals and writings, but if they died 100 years ago one will not 'know' them.""]"
1549,"Belief does not require justification, as it is inherently subjective.","Faith \(in the sense of non-empirical knowledge\) is indistinguishable from a claim of faith. In other words, true faith and false faith both manifest as claims of faith. Therefore, faith claims cannot be used to justify belief over disbelief.","In order to know God, one must believe that God exists while engaging in faithful practice.",Con,,],]
1550,There are pragmatic reasons not to believe in God as well.,There are pragmatic reasons to believe in the existence of God.,"In order to know God, one must believe that God exists while engaging in faithful practice.",Pro,,"""Such reasons include not having to follow set-in-stone rituals that use up one's time and energy \\(e.g. prayer five times a day for islam, shabbath for judaism, church on sunday for christianism, and many others \\)"", ""People don't have to feel guilty for normal behaviours such as \\(but not restricted to\\) masturbation or out-of-wedlock-sex; indeed religions tend to shame such practices whereas they are actually normal and healthy The guilt that such activities bring can prevents people from doing them, or cause mental distress when people do."", 'One can eat whatever one wants \\(beef is forbidden in the major branches of Hinduism, meat in general in some branches, pork in Islam and Judaism\\), whenever one wants \\(Ramadan in Islam, Lent in Christianity\\), unlike many religions.']",]
1551,"One must have sufficient faith to conduct an experiment before he can see the outcome, therefore faith does not invalidate the conclusions that required it. Formal proof uses this very pattern: ""Assume XYZ. Then it would follow that...""","There is a cart before the horse problem here. ""One must believe that God exists,"" is being used to support the above claim that ""supports the existence of God.""","In order to know God, one must believe that God exists while engaging in faithful practice.",Con,,],"'I could conduct an experiment because I believe you are 100% wrong and want to prove it, and then see the outcome.']"
1552,"If subjectivity entails uncertainty, then no special support can be given to the mere human Protagoras, and the argument that we cannot support a notion from philosophy defeats itself.","According to Protagoras, ""Man is the measure of all things"" and, therefore, ""For those that believe god exists, he exists; for those that do not believe god exists, he does not exist."" Subjectivity entails uncertainty and, therefore, no support can be given.","In order to know God, one must believe that God exists while engaging in faithful practice.",Pro,,],]
1553,"God gave men and animals free will, including the freedom to defile natural beauty. The works that God is solely responsible for, excluding those sullied by free creatures, are fundamentally beautiful.","Much of the world isn't beautiful - for example, the atrocities committed by man and animals.","There isn't any reason a priori to expect the world to be fundamentally beautiful - however, if it was created by a perfect God, it would almost certainly be. As such, the fact that we exist in a fundamentally beautiful universe counts as evidence for a perfect Creator.",Con,,],"'-> See 1.3.3.3.1.1.2.3.1.7.7.1.2.5.', 'Natural disasters or infections are not works of free creatures, but they are not beautiful. Which means God, if he exists, did not create a fundamentally beautiful universe.']"
1554,"Many things not visible to early humans - such as planets, nebulae, and galaxies, or the microscopic structures of many materials - are still considered beautiful, despite humans having no time to adapt to them and come to see them that way.","It's possible that the human conception of ""beauty"" adapted from experience of the outside world, and so it would be natural for humans to consider nature ""beautiful.""","There isn't any reason a priori to expect the world to be fundamentally beautiful - however, if it was created by a perfect God, it would almost certainly be. As such, the fact that we exist in a fundamentally beautiful universe counts as evidence for a perfect Creator.",Con,,],'Our value of these other structures may be evolutionary spandrels
1555,"From a distance, the violent scenes of the cosmos are extremely beautiful, and since no life is at stake, they are not horrifying, yet remain awe inspiring.","The universe is not fundamentally beautiful - for example, life is impossible in 99.99% of the universe, and millions of people die every year because of natural disasters.","There isn't any reason a priori to expect the world to be fundamentally beautiful - however, if it was created by a perfect God, it would almost certainly be. As such, the fact that we exist in a fundamentally beautiful universe counts as evidence for a perfect Creator.",Con,,],]
1556,"With respect to justification, we can imagine someone placed in circumstances in which belief in the Great Pumpkin would be justified for him. For example, Linus’ parents assured him of the existence of the Great Pumpkin. Yet, this doesn’t imply these beliefs are justified for normally situated adults because they would formulate de facto defeaters for their belief in the Great Pumpkin.","If justification involves obedience to one's epistemic duties or possession of a sound noetic structure of beliefs, then this leads to radical relativism. If belief in any God can meet this criteria, then just any belief, it is alleged, such as Linus’ belief in the Great Pumpkin, can also be justified.",Belief in God is produced in a way that violates no epistemic duty in believing and so is justified. Justification involves obedience to one’s epistemic duties or possession of a sound noetic structure of beliefs.,Con,,],]
1557,"If you listen to people, God has been for, or against whatever happens to be in their best interest at the time. If one is looking for humans determining for themselves what is moral without the application of reason, they thus need look no further then a theist.",Moral arguments support the existence of God.,Theists have accepted the burden of proof and provided evidence for the existence of God.,Pro,,],'The selfish nature of humanity does not disprove the existence of God. It only proves that many theists are selfish or insincere. The flaws of mankind are distinct from the existence of God.']
